Property Name,Address,Year Ending,Property GFA - Self-Reported (ft²),Year Built,Electricity Use - Grid Purchase (kWh),Natural Gas Use (therms),Fuel Oil #2 Use (kBtu),ENERGY STAR Score,Site EUI (kBtu/ft²),Site Energy Use (kBtu),Direct GHG Emissions (Metric Tons CO2e)
B. Jae Clanton Complex,"674 Prairie Avenue
Providence, RI, 02905",06/30/2017 12:00:00 AM,103000,2004,492474.8,25767.99,,94,41.3,4257123.5,136.9
Peter A. Rochio Substation,"1266 Chalkstone Ave, Providence, RI 02908",06/30/2017 12:00:00 AM,914,2006,25320.8,,,,94.5,86394.5,0
Selim Madelin Rogers Recreation Center,"60 Camden Ave, Providence, RI 02908",06/30/2015 12:00:00 AM,9350,2000,74284.9,11211.1,0,,147,1374570.4,59.5
Department of Communications,"215 West Exchange Street Providence, Rhode Island 02903",06/30/2012 12:00:00 AM,11752,1987,279223.5,5302.09,0,,126.2,1482919.1,28.2
Providence Career and Technical Academy,"41 Fricker St, Providence, RI 02903",06/30/2012 12:00:00 AM,300000,2009,1787963.3,48963.4,0,,36.7,10996871.8,260.1
Davey Lopes Recreation Center,"227 Dudley St, Providence, RI 02907",06/30/2012 12:00:00 AM,11860,1948,83089.4,11925.83,0,,124.5,1476084.5,63.3
Dexter Street Garage,"382 Dexter St, Providence, RI 02907",06/30/2015 12:00:00 AM,17000,1905,117951,23.56,1368132,,104.3,1772936.8,101.7
Vincent Brown Recreation Center,"438 Hope Street Providence, RI 02906",06/30/2015 12:00:00 AM,18111,1997,30005,9526,0,,58.3,1054977.1,50.6
Dexter Street Garage,"382 Dexter St, Providence, RI 02907",06/30/2013 12:00:00 AM,17000,1905,153431.4,9.98,1356816,,110.7,1881322.1,100.7
Dexter Street Garage,"382 Dexter St, Providence, RI 02907",06/30/2012 12:00:00 AM,17000,1905,131284.9,11.02,1202118,,97.1,1651164.3,89.3
Dexter Street Garage,"382 Dexter St, Providence, RI 02907",06/30/2011 12:00:00 AM,17000,1905,116720,10.7,1578996,,116.4,1978314.5,117.2
Dexter Street Garage,"382 Dexter St, Providence, RI 02907",06/30/2010 12:00:00 AM,17000,1905,120026.3,9.24,1348812,,103.5,1759266.1,100.1
Robert F. Kennedy Elementary School,"195 Nelson St, Providence, RI 02908",06/30/2016 12:00:00 AM,49840,1921,135266.2,27602.73,,77,64.6,3221801.4,146.6
Department of Communications,"215 West Exchange Street Providence, Rhode Island 02903",06/30/2017 12:00:00 AM,13608,1987,270651.2,7546.88,,,123.3,1678149.8,40.1
E-Cubed Academy,"812 Branch Ave, Providence, RI 02904",06/30/2012 12:00:00 AM,44600,2004,328235.3,9005.97,0,89,45.3,2020535.6,47.8
Department of Recreation,"One Recreation Way Providence, Rhode Island 02904",06/30/2014 12:00:00 AM,4186,2001,52103.2,0,103500,,67.2,281276.1,7.7
Rochambeau Avenue Fire Station,"270 Rochambeau Avenue Providence, RI 02906",06/30/2017 12:00:00 AM,7400,1928,29445.8,8422.55,,,127.4,942723.7,44.7
Steven M. Shaw District 5 Substation,"204 Magnolia St, Providence, RI 02909",06/30/2010 12:00:00 AM,546,1996,6829.3,452,0,,125.5,68501.6,2.4
Allens Avenue Fire Station,"776 Allens Avenue Providence, RI 02905",06/30/2010 12:00:00 AM,9440,1948,70096.1,0,716634,,101.3,955802,53.2
Selim Madelin Rogers Recreation Center,"60 Camden Ave, Providence, RI 02908",06/30/2011 12:00:00 AM,9350,2000,55590.4,6941.94,0,,94.5,883868.5,36.9
Dexter Street Garage,"382 Dexter St, Providence, RI 02907",06/30/2014 12:00:00 AM,17000,1905,119158.1,17.47,1756602,,127.3,2164916.8,130.4
Dr. Martin Luther King Elementary School,"35 Camp St, Providence, RI 02906",06/30/2012 12:00:00 AM,71724,1959,273843,28420.73,0,84,52.7,3776425.6,151
Admiral Street Fire Station,"426 Admiral Street Providence, RI 02908",06/30/2012 12:00:00 AM,12850,1924,74738.1,7093.05,246192,,94.2,1210503.2,55.9
Dr. Martin Luther King Elementary School,"35 Camp St, Providence, RI 02906",06/30/2011 12:00:00 AM,71724,1959,271221.8,3718,0,87,52.1,3739786.5,201
Dr. Martin Luther King Elementary School,"35 Camp St, Providence, RI 02906",06/30/2010 12:00:00 AM,71724,1959,275280,3845,2882681.9,81,58.6,4206437.2,234.3
Dr. Robert F. Roberti Administration Building,"797 Westminster St., Providence, RI 02903",06/30/2015 12:00:00 AM,56744,1945,770897.1,22279.49,0,79,85.6,4858249.7,118.3
Windmill Annex (A Venture),"425 Branch Avenue Providence, Rhode Island 02904",06/30/2011 12:00:00 AM,25060,1930,15480,12102,0,92,50.4,1263017.6,64.3
Providence Police Academy,"200 Chad Brown Street Providence, RI 02908",06/30/2017 12:00:00 AM,20175,1928,33218.3,,,,58.5,1180165.5,64.1
Museum of Natural History and Planetarium,"1000 Elmwood Ave, Providence, RI 02907",06/30/2014 12:00:00 AM,19500,1894,236508.2,0,1146365.9,,100.2,1953331.8,85.1
Public Safety Complex,"325 Washington Street, Providence, RI 02901",06/30/2010 12:00:00 AM,119002,2002,4157344.9,14802,0,,131.6,15665062.4,78.6
Asa Messer Annex (WSPS),"245 Althea St, Providence, RI 02909",06/30/2016 12:00:00 AM,20360,1925,16462.7,5695,,99,30.7,625670.7,30.2
Department of Recreation,"One Recreation Way Providence, Rhode Island 02904",06/30/2010 12:00:00 AM,4186,2001,52011.4,0,138828,,75.6,316290.9,10.3
E-Cubed Academy,"812 Branch Ave, Providence, RI 02904",06/30/2014 12:00:00 AM,44600,2004,299422.5,14305.13,0,87,55,2452142.4,76
E-Cubed Academy,"812 Branch Ave, Providence, RI 02904",06/30/2013 12:00:00 AM,44600,2004,302162.2,11590.65,0,90,49.1,2190041.9,61.6
Dexter Street Garage,"382 Dexter St, Providence, RI 02907",06/30/2016 12:00:00 AM,17000,1905,121965.2,28.27,1344534,,103.7,1763506,99.9
Reservoir Avenue Fire Station,"274 Reservoir Avenue Providence, RI 02907",06/30/2010 12:00:00 AM,7360,1932,49709.4,651.73,351210,,79.6,585991.2,29.5
E-Cubed Academy,"812 Branch Ave, Providence, RI 02904",06/30/2010 12:00:00 AM,44600,2004,404288.7,8630.39,0,79,50.3,2242471.9,45.8
Davey Lopes Recreation Center,"227 Dudley St, Providence, RI 02907",06/30/2016 12:00:00 AM,11860,1948,78426.7,11616.31,,,120.5,1429222.9,61.7
The Family and Community Engagement Center,"379 Washington Street, Providence, RI 02903",06/30/2010 12:00:00 AM,8700,1960,90214.5,120.54,548387.2,25,99.8,868253.6,41.3
Providence Emergency Management Agency,"591 Charles St, Providence, RI 02904",06/30/2013 12:00:00 AM,12776,1991,100910.9,0,140622,,38,484930.2,10.4
Camp Cronin,"1399 Ocean Road, Narragansett, RI 02882",06/30/2017 12:00:00 AM,4362,1960,27986.7,,,,21.9,95490.7,0
Providence Emergency Management Agency,"591 Charles St, Providence, RI 02904",06/30/2011 12:00:00 AM,12776,1991,88971.7,0,176778,,37.6,480349.3,13.1
Central Supply,"304 Pearl Street Providence, Rhode Island 02903",06/30/2011 12:00:00 AM,15525,2004,60560.1,10339.62,0,10,95.4,1240592.7,54.9
Broad Street Fire Station,"847 Broad Street Providence, RI 02905

",06/30/2012 12:00:00 AM,9426,1942,65514.1,1013.4,357420,,72.4,682294.2,31.9
Alex & Ani City Center,"2 Kennedy Plaza, Providence, RI 02903",06/30/2017 12:00:00 AM,6373,1999,,1,,,,,0
Esek Hopkins Middle School,"480 Charles St, Providence, RI 02904",06/30/2013 12:00:00 AM,87560,1916,302490,44690.19,0,60,62.8,5501115,237.4
Esek Hopkins Middle School,"480 Charles St, Providence, RI 02904",06/30/2012 12:00:00 AM,87560,1916,338446,,0,85,36.9,3231045.6,110.3
Esek Hopkins Middle School,"480 Charles St, Providence, RI 02904",06/30/2011 12:00:00 AM,87560,1916,369571.5,5352.06,0,75,46.7,4087549.5,198.5
Public Safety Complex,"325 Washington Street, Providence, RI 02901",06/30/2016 12:00:00 AM,119002,2002,2697384.3,16928.32,,,91.6,10896308.5,89.9
Allan Shawn Feinstein Elementary School @ Broad Street,"1450 Broad St, Providence, RI 02905",06/30/2016 12:00:00 AM,77899,1895,122564.7,37969.25,,97,54.1,4215115.3,201.7
Public Safety Garage,"349 W Fountain St, Providence, RI 02903",06/30/2017 12:00:00 AM,162976,2002,198491.1,,,,4.2,677251.9,0
Frank D. Spaziano Elementary School,"85 Laurel Hill Ave, Providence, RI 02909",06/30/2013 12:00:00 AM,58015,1908,103923.6,1913.21,2370012,91,50.3,2915920.5,186
Allan Shawn Feinstein Elementary School @ Broad Street,"1450 Broad St, Providence, RI 02905",06/30/2014 12:00:00 AM,77899,1895,127892.4,55079.45,0,89,76.3,5944313.6,292.6
Frank D. Spaziano Elementary School,"85 Laurel Hill Ave, Providence, RI 02909",06/30/2011 12:00:00 AM,58015,1908,132365,2023.43,1822427.9,94,42.7,2476400.6,146
Frank D. Spaziano Elementary School,"85 Laurel Hill Ave, Providence, RI 02909",06/30/2010 12:00:00 AM,58015,1908,136175.6,1886.4,3318072.2,71,68.5,3971343.5,256.3
Davey Lopes Recreation Center,"227 Dudley St, Providence, RI 02907",06/30/2017 12:00:00 AM,11860,1948,97116.9,10342.62,,,115.1,1365625.3,54.9
Frank D. Spaziano Elementary School Annex,"240 Laban Street, Providence, RI 02909",06/30/2014 12:00:00 AM,19585,1910,74742.5,12245.43,0,41,75.5,1479563.9,65
The Family and Community Engagement Center,"379 Washington Street, Providence, RI 02903",06/30/2017 12:00:00 AM,8700,1960,58481.6,4071.68,,59,69.7,606706.8,21.6
Frank D. Spaziano Elementary School Annex,"240 Laban Street, Providence, RI 02909",06/30/2012 12:00:00 AM,19585,1910,65146.7,8339.49,0,69,53.9,1056229.5,44.3
Atwells Avenue Fire Station,"639 Atwells Avenue Providence, RI 02909",06/30/2016 12:00:00 AM,10022,1948,59092,592.73,750444,,100.9,1011339.1,58.8
The Casino at Roger Williams Park,"1000 Elmwood Ave, Providence, RI 02907",06/30/2012 12:00:00 AM,16782,1894,151838.8,6409.35,0,,69.1,1159008.9,34
Reservoir Avenue Elementary School,"156 Reservoir Ave, Providence, RI 02907",06/30/2011 12:00:00 AM,22000,1924,83219.3,13012.39,0,47,72.1,1585182.8,69.1
Frank D. Spaziano Elementary School Annex,"240 Laban Street, Providence, RI 02909",06/30/2010 12:00:00 AM,19585,1910,60622.2,11093.2,0,55,67.2,1316163,58.9
Selim Madelin Rogers Recreation Center,"60 Camden Ave, Providence, RI 02908",06/30/2014 12:00:00 AM,9350,2000,69156.6,11790.55,0,,151.3,1415017.6,62.6
Asa Messer Elementary School @ Samuel W. Bridgham,"1655 Westminster Street Providence, RI, 02909",06/30/2013 12:00:00 AM,109255,1972,595176,54768.74,0,45,68.7,7507615.1,290.9
Admiral Street Fire Station,"426 Admiral Street Providence, RI 02908",06/30/2017 12:00:00 AM,12850,1924,69785.1,11386.64,42090,,110.4,1418860.4,63.6
George J. West Elementary School,"145 Beaufort St, Providence, RI 02908",06/30/2012 12:00:00 AM,112030,1959,216132.1,,0,,,,
Asa Messer Annex (WSPS),"245 Althea St, Providence, RI 02909",06/30/2017 12:00:00 AM,20360,1925,15268,7084,,97,37.4,760494.4,37.6
Juanita Sanchez Educational Complex,"182 Thurbers Ave, Providence, RI 02905",06/30/2013 12:00:00 AM,110000,2004,935186.6,42180.78,0,69,67.4,7408934.5,224
Allens Avenue Fire Station,"776 Allens Avenue Providence, RI 02905",06/30/2016 12:00:00 AM,9440,1948,49396.4,4709.12,,,67.7,639452,25
Gilbert Stuart Middle school,"188 Princeton Ave, Providence, RI 02907",06/30/2014 12:00:00 AM,154450,1929,299053.2,117541.23,0,15,98.9,15282781,810.5
Peter A. Rochio Substation,"1266 Chalkstone Ave, Providence, RI 02908",06/30/2012 12:00:00 AM,914,2006,21583.4,0,0,,80.6,73642.7,0
DelSesto Middle School,"152 Springfield St, Providence, RI 02909",06/30/2014 12:00:00 AM,146000,1998,1011437.3,60762.87,0,45,65.3,9527311.4,322.7
Central-Classical High Schools,"770 Westminster St, Providence, RI 02903",06/30/2012 12:00:00 AM,454059,1962,2943018.3,175625.99,0,48,60.8,27604178.7,932.8
Brook Street Fire Station,"223 Brook Street Providence, RI 02906",06/30/2016 12:00:00 AM,7580,1950,56288.2,3758,,,74.9,567855.3,20
Dr. Jorge Alvarez High School,"375 Adelaide Ave, Providence, RI 02907",06/30/2013 12:00:00 AM,88000,2007,727583.2,35994.84,0,52,69.1,6081998.2,191.2
Nathanael Greene Middle School,"721 Chalkstone Ave, Providence, RI 02908",06/30/2017 12:00:00 AM,168500,1930,251270.6,70630.27,,78,47,7920362.9,375.2
George J. West Elementary School,"145 Beaufort St, Providence, RI 02908",06/30/2010 12:00:00 AM,112030,1959,202945.8,2930.97,6366629.8,64,65.6,7352178.6,488
Harry Kizirian Elementary School,"60 Camden Ave, Providence, RI 02908",06/30/2012 12:00:00 AM,73950,1959,229276.6,,0,,,,
The Casino at Roger Williams Park,"1000 Elmwood Ave, Providence, RI 02907",06/30/2017 12:00:00 AM,16782,1894,137594.9,8373.25,,,77.9,1306798.9,44.5
Harry Kizirian Elementary School,"60 Camden Ave, Providence, RI 02908",06/30/2010 12:00:00 AM,73950,1959,240775.7,5409.77,3383760,65,64.2,4746263.3,279.8
Hartford Avenue Fire Station,"489 Hartford Avenue Providence, RI 02909",06/30/2015 12:00:00 AM,9150,1948,52919.1,0,582635.9,,83.4,763195.9,43.2
Hartford Avenue Fire Station,"489 Hartford Avenue Providence, RI 02909",06/30/2014 12:00:00 AM,9150,1948,52163.7,0,591329.9,,84.1,769312.5,43.9
Hartford Avenue Fire Station,"489 Hartford Avenue Providence, RI 02909",06/30/2013 12:00:00 AM,9150,1948,60087.3,0,692898,,98.1,897915.7,51.4
Hartford Avenue Fire Station,"489 Hartford Avenue Providence, RI 02909",06/30/2012 12:00:00 AM,9150,1948,66862.8,0,606510,,91.2,834646,45
Hartford Avenue Fire Station,"489 Hartford Avenue Providence, RI 02909",06/30/2011 12:00:00 AM,9150,1948,62312.6,0,679236,,97.5,891846.5,50.4
Harry Kizirian Elementary School,"60 Camden Ave, Providence, RI 02908",06/30/2013 12:00:00 AM,73950,1959,263591.6,,0,,,,
Central-Classical High Schools,"770 Westminster St, Providence, RI 02903",06/30/2010 12:00:00 AM,454059,1962,2732141.9,27224.48,13962701.9,56,57.3,26007219.2,1180.8
Providence Police Academy,"200 Chad Brown Street Providence, RI 02908",06/30/2011 12:00:00 AM,20175,1928,39782.2,0,1520484.1,,82.1,1656220.8,112.8
Rochambeau Avenue Fire Station,"270 Rochambeau Avenue Providence, RI 02906",06/30/2014 12:00:00 AM,7400,1928,36172.7,7828,0,,122.5,906221.1,41.6
Vartan Gregorian Elementary School,"455 Wickenden St, Providence, RI 02903",06/30/2017 12:00:00 AM,63000,1954,297984,46668.29,,22,90.2,5683550.3,247.9
Vartan Gregorian Elementary School,"455 Wickenden St, Providence, RI 02903",06/30/2010 12:00:00 AM,63000,1954,274854.1,52898.29,0,18,98.9,6227631.3,281
Roger Williams Park Carousel,"1000 Elmwood Avenue Providence, Rhode Island 02907",06/30/2017 12:00:00 AM,51600,1897,32398.2,6939.01,,,15.6,804443.7,36.9
City Hall,"25 Dorrance St, Providence, RI 02903",06/30/2010 12:00:00 AM,99675,1878,732884.8,60826.01,0,77,86.1,8583203.9,323.1
Esek Hopkins Middle School,"480 Charles St, Providence, RI 02904",06/30/2017 12:00:00 AM,87560,1916,224293.2,29261.21,,89,42.2,3691409.2,155.4
Oliver Hazard Perry (Providence Mayoral Academy ES),"370 Hartford Avenue Providence, Rhode Island 02909",06/30/2016 12:00:00 AM,182488,1929,373129.7,69657.19,,34,45.1,8238837.9,370
"DPW Maintenance, Traffic and Roller Shed","20 Ernest Street Providence, Rhode Island 02905",06/30/2011 12:00:00 AM,117618,1930,306714.7,58052.03,0,,58.3,6851713.9,308.3
Humboldt Avenue Fire Station,"155 Humboldt Avenue Providence, RI 02906",06/30/2011 12:00:00 AM,7460,1905,40233.4,0,637284,,103.8,774560.6,47.3
Humboldt Avenue Fire Station,"155 Humboldt Avenue Providence, RI 02906",06/30/2010 12:00:00 AM,7460,1905,35981.1,0,729605.9,,114.3,852373.4,54.1
Neutaconkanut Recreation Center,"675 Plainfield St, Providence, RI 02909",06/30/2017 12:00:00 AM,15345,1997,49863.2,8416.68,,,65.9,1011801.5,44.7
Steven M. Shaw District 5 Substation,"204 Magnolia St, Providence, RI 02909",06/30/2014 12:00:00 AM,546,1996,9347.2,623,0,,172.5,94192.7,3.3
Allens Avenue Fire Station,"776 Allens Avenue Providence, RI 02905",06/30/2017 12:00:00 AM,9440,1948,44010.7,4975.01,,,68.6,647665.6,26.4
Providence Emergency Management Agency,"591 Charles St, Providence, RI 02904",06/30/2015 12:00:00 AM,12776,1991,160000.8,3427.29,241362,,88.4,1130014.4,36.1
Central Supply,"304 Pearl Street Providence, Rhode Island 02903",06/30/2012 12:00:00 AM,15525,2004,71788.1,4823,0,25,48.2,727240.9,25.6
DPW Administration Building,"700 Allens Avenue Providence, Rhode Island 02905",06/30/2016 12:00:00 AM,20511,1925,56384,13210,,79,73.8,1513382.3,70.2
Juanita Sanchez Educational Complex,"182 Thurbers Ave, Providence, RI 02905",06/30/2016 12:00:00 AM,110000,2004,865554.8,23675.97,,85,48.4,5320870.1,125.8
Roger Williams Park Zoo,"1000 Elmwood Ave, Providence, RI 02907",06/30/2012 12:00:00 AM,136659,1872,2749928.9,87370.13,0,,57.6,18119771.4,464.1
Lillian Feinstein Elementary School @ Sackett Street,"159 Sackett St, Providence, RI 02907",06/30/2013 12:00:00 AM,68400,1921,282648,14976.16,1469286,81,57.5,3931297.2,188.6
Messer Street Fire Station,"201 Messer Street Providence, RI 02909",06/30/2013 12:00:00 AM,9150,1948,67670.4,461.73,415656,,75.7,692720.6,33.3
Lillian Feinstein Elementary School @ Sackett Street,"159 Sackett St, Providence, RI 02907",06/30/2011 12:00:00 AM,68400,1921,292283.2,11935.61,1738386,80,57.4,3929217.6,192.4
City Hall,"25 Dorrance St, Providence, RI 02903",06/30/2017 12:00:00 AM,99675,1878,457158.3,41775,,96,57.6,5737324.1,221.9
Robert F. Kennedy Elementary School,"195 Nelson St, Providence, RI 02908",06/30/2010 12:00:00 AM,49840,1921,129156.3,,3767813.6,60,84.4,4208495.1,279.6
Lillian Feinstein Senior Center,"1085 Chalkstone Ave, Providence, RI 02908",06/30/2014 12:00:00 AM,8520,2001,40136.6,3439,0,,56.4,480846.1,18.3
Lillian Feinstein Senior Center,"1085 Chalkstone Ave, Providence, RI 02908",06/30/2013 12:00:00 AM,8520,2001,46572,2437.42,0,,47.3,402645.6,12.9
E-Cubed Academy,"812 Branch Ave, Providence, RI 02904",06/30/2017 12:00:00 AM,44600,2004,308704,12635.42,,89,51.9,2316840.2,67.1
City Hall,"25 Dorrance St, Providence, RI 02903",06/30/2014 12:00:00 AM,99675,1878,592276.6,38868.84,0,94,59.3,5907732.1,206.5
Lillian Feinstein Senior Center,"1085 Chalkstone Ave, Providence, RI 02908",06/30/2010 12:00:00 AM,8520,2001,33204,1857.07,0,,35.1,298998.5,9.9
E-Cubed Academy,"812 Branch Ave, Providence, RI 02904",06/30/2015 12:00:00 AM,44600,2004,276612,14378.45,0,89,53.4,2381645.3,76.4
Reservoir Avenue Elementary School,"156 Reservoir Ave, Providence, RI 02907",06/30/2013 12:00:00 AM,22000,1924,93065.9,14455.26,0,34,80.1,1763066.8,76.8
Roger Williams Middle School,"278 Thurbers Ave, Providence, RI 02905",06/30/2016 12:00:00 AM,135228,1929,348656.3,69994.62,,59,60.6,8189076.9,371.8
Gilbert Stuart Middle school,"188 Princeton Ave, Providence, RI 02907",06/30/2010 12:00:00 AM,154450,1929,350834.2,3906.23,6496074.2,67,52.3,8083744.1,502.8
Mary E. Fogarty Elementary School,"199 Oxford St, Providence, RI 02905",06/30/2011 12:00:00 AM,51400,1959,146565.9,6998.5,2433906,63,70.7,3633839,217.8
Mary E. Fogarty Elementary School,"199 Oxford St, Providence, RI 02905",06/30/2017 12:00:00 AM,51400,1959,155455.8,25368.49,,72,59.7,3067264,134.7
DelSesto Middle School,"152 Springfield St, Providence, RI 02909",06/30/2012 12:00:00 AM,146000,1998,988333.2,46895.1,0,55,55.2,8061703.2,249.1
Nathanael Greene Middle School,"721 Chalkstone Ave, Providence, RI 02908",06/30/2010 12:00:00 AM,159070,1930,411209.4,7146.69,7657205.8,50,61.5,9774921.7,606.2
Veazie Street Elementary School,"211 Veazie St, Providence, RI 02904",06/30/2017 12:00:00 AM,110000,1909,292944.8,48558.97,,65,53.2,5855424.5,257.9
Robert F. Kennedy Elementary School,"195 Nelson St, Providence, RI 02908",06/30/2017 12:00:00 AM,49840,1921,139277.3,34977.73,,61,79.7,3972987.2,185.8
Messer Street Fire Station,"201 Messer Street Providence, RI 02909",06/30/2011 12:00:00 AM,9150,1948,70030.8,777.62,441324,,82.8,758030.9,36.9
Messer Street Fire Station,"201 Messer Street Providence, RI 02909",06/30/2010 12:00:00 AM,9150,1948,61047,783.61,448500,,80.3,735153.4,37.4
Camp Cronin,"1399 Ocean Road, Narragansett, RI 02882",06/30/2010 12:00:00 AM,4362,1960,3942.3,0,0,,2.3,13451.1,0
The Family and Community Engagement Center,"379 Washington Street, Providence, RI 02903",06/30/2016 12:00:00 AM,8700,1960,80052.6,4791.39,,34,86.5,752278.1,25.4
Branch Avenue Fire Station,"10 Branch Avenue Providence, RI 02904",06/30/2016 12:00:00 AM,14616,1948,97398.3,396.09,774180,,78.4,1146112,59.6
Mount Pleasant High School,"434 Mt Pleasant Ave, Providence, RI 02908",06/30/2013 12:00:00 AM,320000,1938,956726.5,166258.75,0,94,62.2,19890226.2,883.1
"Joseph A. Doorley, Jr. Building","444 Westminster St, Providence, RI 02903",06/30/2016 12:00:00 AM,72000,1966,1168508.8,24023.18,,49,88.7,6389270.4,127.6
